LAT,LONG
-11.9355403047646,-61.9998238962936
-12.4372387282654,-62.0438976671535
-12.6014154908772,-62.1755494862916
-11.9197924573341,-62.3186501358513
-13.0798064324339,-62.2768122679487
-12.0894388225116,-62.1044283378781
-9.9084628665672,-63.0332692780484
-13.4997634596963,-60.5443135812009
-13.3744467662961,-60.4152064894834
-11.4338650286852,-61.4429442118224
-11.5106097543395,-61.3597146164499
-11.1906203464975,-61.180935111745
-11.2318777790011,-61.1763712958385
-11.2206103219691,-61.2489909815248
-11.1758443437912,-61.3052547594719
-11.0959001305961,-61.3227495187781
-11.0913580683086,-61.3603653386002
-11.0827156291769,-61.4108712814245
-13.1950330320399,-60.8184261646815
-13.1305638414553,-60.5550674630789
-12.9975202364834,-60.9487011706614
-12.9627022204678,-60.8888152257646
-13.011655482433,-61.1286961928154
-12.4360138777142,-64.2316539391172
-12.4266797537057,-64.4208600453648
-12.0776772607788,-64.0308512002582
-11.5285546333473,-61.0201731132847
-11.0031526126594,-60.8467946129326
-11.4616126192937,-60.9238161655818
-11.4053851830604,-60.7512857220306
-11.5037898576071,-61.1320564138505
-10.7738837406705,-65.3239518196923
-10.5042853487987,-64.7530566854107
-11.047600215094,-65.1837372640973
-10.5898540402373,-65.3828280304954
-11.8823104504191,-65.0215214939607
-10.4359487678844,-62.4762307081317
-10.3154657871915,-62.2407498504001
-10.651473503671,-62.587103549393
-10.8569138501545,-62.8013133007427
-10.9380630013399,-62.9778332250824
-10.882051318349,-61.9450945826841
-10.7917965255095,-61.6931720073576
-11.0647730816189,-62.0098478511538
-9.42556248,-61.9995925724466
-9.58942920024486,-62.3953527070522
-9.68982120643829,-62.2156695254714
-8.93336295810437,-62.0567234811129
-11.7213254138559,-62.308230163019
-10.7235739008135,-62.2610551904363
-10.5135961939108,-61.999999642361
-11.67753699,-61.183665673642
-12.0134266243568,-60.8600581150898
-8.76889179,-63.8314456543611
-8.84955130915508,-63.9416433668811
-9.68561772719142,-65.3715057261488
-8.02541201841792,-62.871889141589
-8.16692669009705,-62.7778827668526
-9.7741695287462,-66.3595502397204
-9.77346400169669,-65.5216204246159
-9.25266785313145,-64.3951087495412
-9.61867241707366,-64.9427072915278
-9.71319796817298,-64.5351499459039
-8.16421653931085,-63.3223088427781
-9.76017305002853,-66.6097484179976
-8.43757958790174,-63.5299595267409
-9.65683247210957,-65.7293287564468
-11.1732050162268,-61.9094386835298
-11.3014549398322,-61.7828823956127
