1                   1                   1                   13267               3151,76             4,21                5,84                30450063,25         
2                   1                   1                   2185                359,67              6,08                6,37                3536646,39          
3                   1                   1                   1952                595,59              3,28                3,40                6349540,95          
4                   1                   1                   312                 43,34               7,20                7,25                415288,02           
5                   1                   1                   283                 64,49               4,39                4,41                637457,90           
6                   1                   1                   94                  6,45                14,57               14,61               61527,65            
7                   1                   1                   594                 274,03              2,17                2,19                4609128,70          
8                   1                   1                   41                  2,28                17,96               17,97               22016,52            
9                   1                   1                   57                  6,54                8,71                8,72                69960,73            
