1                   210180                          -7,120543           -44,568302          770,15              2007/1/1          2013/12/31        1140                10516,153346        1e-17               13267               3151,76             4,21                5,84                30450063,25         F 
2                   500627                          -19,228186          -53,130335          339,08              2007/1/1          2013/12/31        160                 2160,129395         1e-17               2185                359,67              6,08                6,37                3536646,39          F 
3                   313680                          -16,840117          -43,564489          331,00              2014/1/1          2019/12/31        330                 984,678346          1e-17               1952                595,59              3,28                3,40                6349540,95          F 
4                   353940                          -22,424953          -49,191797          20,16               2007/1/1          2013/12/31        5                   348,121790          1e-17               312                 43,34               7,20                7,25                415288,02           F 
5                   520620                          -16,698409          -47,518018          85,56               2007/1/1          2013/12/31        8                   200,640810          1e-17               283                 64,49               4,39                4,41                637457,90           F 
6                   315430                          -19,211934          -41,153089          32,20               2007/1/1          2013/12/31        6                   164,393982          1e-17               94                  6,45                14,57               14,61               61527,65            F 
7                   311490                          -20,836186          -43,938017          103,76              2007/1/1          2010/12/31        103                 140,883602          1e-17               594                 274,03              2,17                2,19                4609128,70          F 
8                   316805                          -19,738614          -41,611560          14,57               2007/1/1          2013/12/31        2                   79,709537           1e-17               41                  2,28                17,96               17,97               22016,52            F 
9                   320080                          -19,572390          -40,983781          24,80               2014/1/1          2019/12/31        3                   72,949600           1e-17               57                  6,54                8,71                8,72                69960,73            F 
