MUNIC_RES,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
150295,28554.0,29308.0,29251.0,31745.0,31954.0,32115.0,32420.0,32544.0,32664.0,32780.0,32892.0,33674.0,33808.0
150300,17253.0,18710.0,19585.0,8181.0,8035.0,7897.0,7680.0,7504.0,7333.0,7168.0,7009.0,7319.0,7194.0
150304,14964.0,15516.0,15629.0,17825.0,18036.0,18295.0,18741.0,19005.0,19261.0,19508.0,19746.0,20080.0,20304.0
150307,24619.0,25436.0,25538.0,25051.0,25097.0,25157.0,25287.0,25307.0,25326.0,25345.0,25363.0,26020.0,26066.0
150309,27166.0,28583.0,29164.0,30437.0,31031.0,35299.0,36500.0,37249.0,37975.0,38677.0,39352.0,39857.0,40475.0
150310,24384.0,25306.0,25511.0,29060.0,29520.0,29963.0,30727.0,31182.0,31623.0,32049.0,32458.0,32991.0,33376.0
150320,33778.0,35005.0,35241.0,35843.0,36155.0,36414.0,36883.0,37112.0,37333.0,37547.0,37753.0,38588.0,38807.0
150330,54673.0,56639.0,57003.0,58023.0,58498.0,58904.0,59644.0,59998.0,60343.0,60675.0,60994.0,62355.0,62698.0
150340,9592.0,10134.0,10377.0,10064.0,10218.0,10393.0,10693.0,10876.0,11053.0,11224.0,11388.0,11559.0,11711.0
150345,39563.0,42636.0,44396.0,51383.0,53318.0,51569.0,54609.0,56613.0,58558.0,60433.0,62237.0,62455.0,64053.0
150350,29746.0,30573.0,30552.0,31382.0,31429.0,31492.0,31634.0,31644.0,31654.0,31664.0,31673.0,32504.0,32550.0
150360,118194.0,124865.0,127848.0,97343.0,97704.0,97908.0,98363.0,98405.0,98446.0,98485.0,98523.0,101097.0,101247.0
150370,42002.0,42332.0,41541.0,51258.0,51341.0,51457.0,51711.0,51743.0,51775.0,51806.0,51835.0,53182.0,53269.0
150375,37073.0,39892.0,41487.0,14040.0,14223.0,41487.0,41487.0,41487.0,41487.0,41487.0,8059.0,8899.0,8239.0
150380,51511.0,54513.0,55900.0,51375.0,52191.0,52993.0,54376.0,55204.0,56006.0,56781.0,57526.0,58457.0,59155.0
150390,33775.0,35155.0,35530.0,47123.0,48306.0,49486.0,51483.0,52755.0,53989.0,55179.0,56325.0,56908.0,57943.0
150400,23284.0,24483.0,24967.0,25028.0,25440.0,25846.0,26542.0,26961.0,27368.0,27760.0,28138.0,28583.0,28935.0
150405,27614.0,28762.0,29087.0,27892.0,28100.0,28290.0,28636.0,28800.0,28959.0,29112.0,29260.0,29917.0,30077.0
150410,7650.0,7883.0,7895.0,8115.0,8148.0,8179.0,8240.0,8260.0,8279.0,8298.0,8316.0,8523.0,8548.0
150420,196468.0,199946.0,203049.0,233462.0,238708.0,243583.0,251885.0,257062.0,262085.0,266932.0,271594.0,275086.0,279349.0
150430,28296.0,29269.0,29417.0,28376.0,28438.0,28498.0,28631.0,28643.0,28656.0,28668.0,28679.0,29429.0,29473.0
150440,26651.0,27727.0,28011.0,26605.0,26750.0,26890.0,27153.0,27262.0,27368.0,27471.0,27569.0,28220.0,28336.0
150442,93416.0,98746.0,101158.0,108251.0,110842.0,113353.0,117614.0,120305.0,122916.0,125435.0,127858.0,129321.0,131521.0
150445,22624.0,23487.0,23682.0,27442.0,27785.0,28227.0,28987.0,29444.0,29887.0,30315.0,30726.0,31213.0,31597.0
150450,17845.0,17989.0,17657.0,24789.0,25096.0,25374.0,25860.0,26133.0,26397.0,26652.0,26897.0,27415.0,27654.0
150460,23258.0,24328.0,24695.0,26745.0,27207.0,27666.0,28454.0,28933.0,29398.0,29846.0,30277.0,30736.0,31136.0
150470,63821.0,67195.0,68600.0,69921.0,71329.0,72597.0,74768.0,76096.0,77385.0,78629.0,79825.0,80988.0,82094.0
150475,,,,,,15018.0,15232.0,15341.0,15446.0,15548.0,15646.0,15982.0,16084.0
150480,61350.0,63543.0,63941.0,55459.0,55636.0,55804.0,56147.0,56231.0,56312.0,56391.0,56466.0,57900.0,58032.0
150490,28796.0,30117.0,30568.0,34237.0,34875.0,35524.0,36632.0,37314.0,37977.0,38616.0,39231.0,39783.0,40349.0
150495,22447.0,23599.0,24062.0,20159.0,20256.0,20350.0,20528.0,20596.0,20663.0,20727.0,20789.0,21291.0,21368.0
150497,14086.0,14808.0,15097.0,14645.0,14859.0,15065.0,15422.0,15632.0,15836.0,16032.0,16221.0,16499.0,16678.0
150500,12103.0,12568.0,12677.0,13660.0,13844.0,14012.0,14305.0,14472.0,14635.0,14791.0,14942.0,15218.0,15363.0
150503,21598.0,21843.0,21504.0,25106.0,25138.0,25151.0,25203.0,25169.0,25135.0,25102.0,25071.0,25758.0,25762.0
150506,51645.0,54506.0,55762.0,62124.0,63604.0,65106.0,67652.0,69267.0,70835.0,72347.0,73802.0,74602.0,75919.0
150510,46793.0,48287.0,48429.0,49254.0,49552.0,49763.0,50171.0,50317.0,50459.0,50596.0,50727.0,51964.0,52137.0
150520,25420.0,26487.0,26796.0,28595.0,29005.0,29402.0,30088.0,30490.0,30880.0,31257.0,31619.0,32168.0,32512.0
150530,55175.0,57765.0,58683.0,62963.0,63905.0,64978.0,66821.0,67939.0,69024.0,70071.0,71078.0,72160.0,73096.0
150540,15152.0,15719.0,15841.0,16296.0,16458.0,16601.0,16854.0,16986.0,17114.0,17237.0,17356.0,17721.0,17842.0
150543,20415.0,21171.0,21327.0,27564.0,27965.0,28551.0,29547.0,30171.0,30776.0,31359.0,31921.0,32319.0,32832.0
150548,38365.0,40768.0,41953.0,40052.0,40831.0,41654.0,43057.0,43930.0,44778.0,45596.0,46383.0,46986.0,47706.0
150549,7156.0,7329.0,7301.0,7487.0,7470.0,7465.0,7465.0,7444.0,7424.0,7404.0,7386.0,7596.0,7589.0
150550,90819.0,95479.0,97350.0,97788.0,99460.0,101046.0,103775.0,105417.0,107010.0,108547.0,110026.0,111764.0,113145.0
150553,133298.0,145326.0,152777.0,153942.0,160229.0,166342.0,176582.0,183352.0,189921.0,196259.0,202356.0,202882.0,208273.0
150555,6466.0,6583.0,6522.0,6029.0,5950.0,5869.0,5743.0,5637.0,5535.0,5436.0,5341.0,5557.0,5483.0
150560,7679.0,7908.0,7916.0,7868.0,7862.0,7869.0,7889.0,7881.0,7874.0,7867.0,7860.0,8073.0,8077.0
150563,12707.0,13106.0,13140.0,12703.0,12699.0,12701.0,12720.0,12697.0,12675.0,12653.0,12632.0,12983.0,12981.0
150565,17898.0,19030.0,19592.0,23930.0,24744.0,25526.0,26842.0,27700.0,28533.0,29336.0,30109.0,30293.0,30982.0
150570,24276.0,25743.0,26445.0,25989.0,26560.0,27103.0,28025.0,28601.0,29160.0,29700.0,30219.0,30608.0,31082.0
