1                   1                   1                   657                 196,69              3,34                
2                   1                   1                   6296                5166,42             1,22                
3                   1                   1                   3551                2746,32             1,29                
4                   1                   1                   1815                1317,06             1,38                
5                   1                   1                   222                 82,84               2,68                
6                   1                   1                   2304                1772,24             1,30                
7                   1                   1                   610                 384,03              1,59                
8                   1                   1                   1523                1201,00             1,27                
