1                   1                   1                   752                 258,34              2,91                
2                   1                   1                   6254                5131,08             1,22                
3                   1                   1                   3564                2757,93             1,29                
4                   1                   1                   1234                836,77              1,47                
5                   1                   1                   222                 82,84               2,68                
6                   1                   1                   2279                1752,56             1,30                
7                   1                   1                   539                 328,02              1,64                
8                   1                   1                   1484                1160,65             1,28                
