1                   150277                          -6,072730           -49,900781          186,57              2017/1/1          2019/12/31        30                  312,943528          1e-17               752                 258,34              2,91                F 
2                   291470                          -12,532254          -40,306995          820,52              2014/1/1          2019/12/31        1647                133,354350          1e-17               6254                5131,08             1,22                F 
3                   354450                          -20,171775          -50,997485          614,56              2007/1/1          2013/12/31        1396                116,671734          1e-17               3564                2757,93             1,29                F 
4                   170388                          -7,191329           -48,208705          52,38               2007/1/1          2013/12/31        6                   84,186678           1e-17               1234                836,77              1,47                F 
5                   150613                          -8,027605           -50,029642          19,11               2014/1/1          2016/12/31        1                   79,932863           1e-17               222                 82,84               2,68                F 
6                   211172                          -4,035735           -45,233630          228,75              2014/1/1          2019/12/31        130                 75,854609           1e-17               2279                1752,56             1,30                F 
7                   315670                          -19,892495          -43,825557          14,09               2007/1/1          2010/12/31        3                   57,276250           1e-17               539                 328,02              1,64                F 
8                   230765                          -3,736487           -38,664018          16,98               2007/1/1          2013/12/31        3                   42,728263           1e-17               1484                1160,65             1,28                F 
