LAT,LONG
-1.72346986284591,-48.8844038207231
-4.9513908955313,-48.3967621257945
-1.9634365,-48.2004564317501
-0.159171693779797,-50.3914275892332
-6.80494886740538,-50.4852745072531
-1.951397505,-54.7408623501896
-1.52733880276478,-52.5768350868127
-3.20565951,-52.2143763052078
-0.984451394008702,-49.945001040544
-1.36871356826946,-48.372066654168
-3.47610463506868,-51.2016217984581
-1.02292101,-46.6416457856711
-2.12937601319444,-47.5561746036128
-3.60559525928393,-55.3307343898178
-1.88980806036172,-50.2219869206135
-2.79196186136136,-49.6727533733253
-7.3510721924244,-50.4060471215195
-1.505767005,-48.6270728925156
-1.459845,-48.4878256874876
-2.64902016946856,-54.9426747393262
-1.361437515,-48.2418364505703
-5.04736270432029,-48.5990399590615
-1.36747435687254,-47.3058918168639
-1.05352395620564,-46.765754213664
-3.29780370400837,-52.5434411922788
-5.70729615383609,-48.4057604223874
-3.77813541287867,-49.5698796832857
-1.6907365,-50.4808947990195
-1.51399146230061,-48.035875014396
-1.75289700493124,-46.5473914166255
-1.00878626563928,-48.9606675773871
-2.24683848,-49.497830168997
-6.5321966156294,-49.8489584319153
-1.192441995,-47.1751261231344
-1.74618729323752,-47.0628253774009
-1.29575680504525,-47.9266431419442
-0.162437290121912,-49.9893186050714
-0.932091243957739,-48.2887284319494
-8.26486353,-49.2645008124957
-1.98452146277275,-47.9498869390047
-7.81110653689927,-50.7715783775131
-6.09681995220666,-49.6022142249504
-1.80942341966693,-49.7915228470854
-1.88992870430549,-55.1196786087308
-0.73249551,-47.8512650859352
-4.29077772,-47.5559148859934
-6.10352516107139,-49.3739519421522
-2.17297524194977,-56.745753017307
-7.55870087237008,-49.6975784122373
-1.93169704310669,-47.0450460172973
-3.842468,-49.1010449237426
-1.404918,-51.6436957233941
-1.124322,-47.6223754920271
-1.983116,-48.9622994689466
-1.42658198091031,-47.9133927465885
-2.5575285,-47.4997175887983
-1.771474995,-47.4407556128483
-4.26372948,-55.9900488572777
-5.12883702636091,-49.3244258612861
-6.22355173138645,-57.7663398583794
-4.448405475,-49.1127815625675
-2.155252995,-56.0949976884001
-1.8919485,-49.3815339012019
-2.04770744079076,-47.5522901794773
-0.795850156021161,-47.5991818964912
-5.35260576313025,-49.1420253334067
-0.762419459981231,-47.4552679594076
-0.712150996347819,-47.7025487537677
-1.3464172655758,-48.340535877783
-3.44541741218688,-52.8883453507243
-1.803446698641,-50.7174646976964
-2.58287297327153,-49.5090234612729
-1.885889,-48.7671991273719
-2.003328,-54.073374725636
-1.5300262083549,-49.2168324424737
-2.2676259890313,-46.9620928836736
-4.92308630702649,-49.0798869380164
-1.20414364746687,-47.3932022764599
-7.03483591328812,-55.4198701179784
-4.2481485,-49.9486382443426
-1.90923549588121,-55.5163235097126
-2.004734,-49.8551061087735
-1.7637535,-55.8627995152359
-1.54894714230244,-47.1176193628501
-6.74061708637736,-51.0908327746816
-3.8303057037573,-50.6348408304298
-5.74993410622605,-48.3217937261637
-2.9941905,-47.3569615610519
-6.07272988763184,-49.900780634297
-7.83679440397357,-50.0482755318998
-1.18956924075654,-47.3179270215591
-6.45367623455792,-48.8684006672187
-3.86731556213536,-54.2169681312654
-1.3965999975235,-48.8717855600433
-1.936451,-50.822490442211
-1.74609008880885,-52.2424769190201
-1.8056945,-53.4818139407895
-0.940111515930574,-47.1172512589126
-0.900115853739325,-47.006786993576
-8.0276045,-50.0296418255093
-7.31111524468815,-50.0464108775224
-4.77782172703555,-48.0699737493982
-4.09906539,-54.9058622598691
-0.623638,-47.3531202631536
-0.754525974353047,-48.5131865994469
-1.22943946699244,-48.2977406497887
-0.659974125599254,-49.1716155661252
-1.29739590129143,-48.1630599409531
-1.51882789138752,-46.9061692026983
-8.87055053969294,-49.7193518572257
-1.3478664592967,-47.5746954138091
-9.329424525,-50.344804321129
-2.43621332999996,-54.7185701672711
-2.68168201294185,-54.6510924503818
-0.928719535783208,-47.400924744868
-1.1516925,-48.1324330748457
-0.746617759994861,-48.0258054980831
-5.549841,-48.7203734107844
-1.6758145,-47.7747845692257
-6.64248327834078,-51.9937825239643
-1.17018878467698,-47.7905146107051
-6.39895797,-48.5557124861926
-0.851002145269607,-47.9207241656462
-0.766442531515371,-47.1726742979205
-5.35900272441641,-48.7886334020461
-1.61713591449048,-47.4824089444892
-1.7188505,-49.5323121746161
-6.94285711257384,-49.7035807118843
-2.59485041832352,-51.9530564180171
-0.7259255,-48.5160126622773
-2.9370795,-48.9512816295758
-1.03482666361629,-47.9078083483744
-2.10811447373903,-56.4909047722432
-2.41936685526733,-48.146896586572
-1.06878405856835,-46.8994783371171
-4.69981914969727,-55.9961700349273
-6.74997200738229,-51.1395392466358
-3.76688908431164,-49.6671843672248
-3.75719301,-47.5031447549992
-3.7065285,-53.7370310504594
-0.855532573667763,-48.1414985852069
-1.20327852667727,-46.1387652161496
-2.8837657102288,-52.0112603538154
-7.10151282714604,-49.9427005843752
