location_id,cases,time
150010,16,2007
150013,0,2007
150020,27,2007
150030,0,2007
150034,0,2007
150040,0,2007
150050,0,2007
150060,1,2007
150070,0,2007
150080,1,2007
150085,0,2007
150090,0,2007
150095,7,2007
150100,0,2007
150110,0,2007
150120,12,2007
150125,0,2007
150130,21,2007
150140,1,2007
150145,2,2007
150150,0,2007
150157,0,2007
150160,0,2007
150170,0,2007
150172,0,2007
150175,0,2007
150178,2,2007
150180,0,2007
150190,23,2007
150195,0,2007
150200,0,2007
150210,29,2007
150215,0,2007
150220,1,2007
150230,4,2007
150240,0,2007
150250,0,2007
150260,0,2007
150270,5,2007
150275,6,2007
150276,0,2007
150277,0,2007
150280,0,2007
150285,0,2007
150290,0,2007
150293,0,2007
150295,1,2007
150300,0,2007
150304,0,2007
150307,4,2007
150309,0,2007
150310,0,2007
150320,1,2007
150330,4,2007
150340,1,2007
150345,3,2007
150350,0,2007
150360,0,2007
150370,1,2007
150375,0,2007
150380,1,2007
150390,1,2007
150400,1,2007
150405,2,2007
150410,0,2007
150420,4,2007
150430,0,2007
150440,0,2007
150442,0,2007
150445,0,2007
150450,0,2007
150460,9,2007
150470,36,2007
150475,0,2007
150480,0,2007
150490,1,2007
150495,0,2007
150497,0,2007
150500,1,2007
150503,0,2007
150506,1,2007
150510,0,2007
150520,5,2007
150530,0,2007
150540,0,2007
150543,0,2007
150548,1,2007
150549,0,2007
150550,2,2007
150553,0,2007
150555,0,2007
150560,0,2007
150563,1,2007
150565,1,2007
150570,4,2007
150580,0,2007
150590,0,2007
150600,0,2007
150610,0,2007
150611,0,2007
150613,1,2007
150616,0,2007
150618,0,2007
150619,0,2007
150620,0,2007
150630,6,2007
150635,0,2007
150640,0,2007
150650,0,2007
150655,0,2007
150658,0,2007
150660,1,2007
150670,2,2007
150680,13,2007
150690,0,2007
150700,0,2007
150710,1,2007
150715,0,2007
150720,9,2007
150730,0,2007
150740,0,2007
150745,0,2007
150746,0,2007
150747,0,2007
150750,0,2007
150760,1,2007
150770,0,2007
150775,0,2007
150780,0,2007
150790,1,2007
150795,5,2007
150796,0,2007
150797,0,2007
150800,19,2007
150803,0,2007
150805,0,2007
150808,0,2007
150810,3,2007
150812,1,2007
150815,1,2007
150820,0,2007
150830,0,2007
150835,0,2007
150840,5,2007
170025,0,2007
170030,1,2007
170035,0,2007
170040,0,2007
170070,0,2007
170100,7,2007
170105,0,2007
170110,0,2007
170130,2,2007
170190,0,2007
170200,0,2007
170210,204,2007
170215,8,2007
170220,16,2007
170230,0,2007
170240,1,2007
170255,3,2007
170270,0,2007
170290,3,2007
170300,5,2007
170305,0,2007
170307,0,2007
170310,0,2007
170320,0,2007
170330,0,2007
170360,0,2007
170370,0,2007
170380,12,2007
170382,0,2007
170384,0,2007
170386,0,2007
170388,0,2007
170389,0,2007
170390,0,2007
170410,2,2007
170460,0,2007
170510,0,2007
170550,0,2007
170555,0,2007
170560,0,2007
170600,3,2007
170610,0,2007
170625,0,2007
170650,0,2007
170700,0,2007
170710,0,2007
170720,0,2007
170730,0,2007
170740,0,2007
170755,0,2007
170765,0,2007
170770,1,2007
170820,0,2007
170825,0,2007
170830,0,2007
170900,0,2007
170930,3,2007
170950,1,2007
170980,0,2007
171050,0,2007
171070,0,2007
171090,0,2007
