1                   1                   1                   13190               3136,24             4,21                5,82                30292671,92         
2                   1                   1                   2141                337,57              6,34                6,65                3313270,92          
3                   1                   1                   1537                390,80              3,93                4,05                4172419,02          
4                   1                   1                   279                 25,26               11,05               11,12               247919,07           
5                   1                   1                   312                 42,68               7,31                7,36                409098,27           
6                   1                   1                   664                 199,80              3,32                3,36                3329505,09          
7                   1                   1                   110                 8,15                13,49               13,53               77024,84            
8                   1                   1                   41                  1,94                21,15               21,17               18817,94            
9                   1                   1                   38                  9,56                3,98                3,98                101106,98           
