5,274051            
4,105367            
5,656953            
6,750842            
6,136966            
4,687964            
4,960911            
5,045156            
6,803751            
4,268167            
5,144018            
5,589879            
5,292534            
4,412941            
5,073776            
7,528861            
5,321796            
4,376886            
8,027948            
4,222964            
3,721424            
4,133380            
4,005947            
4,544335            
6,082111            
6,635810            
5,123671            
4,400837            
5,817439            
4,390276            
4,437044            
5,168519            
4,473655            
4,227301            
4,900348            
5,964071            
4,335066            
5,866350            
3,139521            
4,333197            
5,835816            
4,689928            
4,028111            
5,336239            
4,681670            
7,136434            
4,662032            
4,910444            
4,177819            
3,429449            
3,686741            
3,431825            
5,255259            
4,725765            
4,154654            
5,049994            
7,162871            
5,402163            
5,590280            
4,918158            
4,366523            
5,247873            
5,224391            
4,110006            
5,014965            
3,354103            
5,574503            
3,931819            
4,562511            
3,829298            
5,050896            
5,409219            
5,131164            
4,160486            
4,706418            
4,211392            
5,693179            
4,812726            
4,325621            
4,533205            
4,518483            
3,681078            
4,439879            
4,816216            
7,777449            
4,949766            
6,105518            
4,814498            
4,099792            
7,235487            
4,687536            
5,628949            
4,232256            
5,059873            
4,964177            
4,469055            
5,019343            
4,788237            
5,367389            
5,781525            
6,523188            
4,350924            
5,499464            
5,481845            
5,006698            
4,633170            
5,114009            
5,572153            
6,705961            
4,453215            
5,658292            
3,961788            
4,475205            
4,905844            
5,061430            
5,308285            
5,756856            
3,821800            
5,075612            
6,664416            
3,799570            
3,740360            
5,414874            
4,843080            
5,442556            
4,478792            
3,823142            
4,901319            
5,294033            
4,365565            
4,589544            
4,700364            
5,265115            
6,385128            
3,932939            
5,024313            
4,376886            
5,877244            
4,836010            
3,555711            
4,372825            
4,687964            
4,833469            
4,604498            
5,128008            
4,446186            
4,375995            
4,512506            
4,933167            
3,880797            
4,653283            
4,846483            
4,029952            
3,766020            
5,574503            
4,321840            
5,176232            
3,773497            
4,090437            
4,724643            
3,805546            
4,909710            
4,501787            
4,577922            
4,419062            
6,821459            
4,308353            
5,770440            
6,254473            
5,352001            
3,303339            
4,184959            
4,358998            
3,649308            
4,469183            
4,640341            
4,854964            
5,132440            
4,982275            
4,843080            
6,740666            
4,605526            
3,911711            
3,554251            
5,162107            
4,699892            
6,900516            
4,716752            
3,910997            
5,105076            
5,517801            
5,563619            
5,160942            
4,956762            
4,285092            
4,904225            
5,349256            
4,512952            
4,121445            
4,132947            
3,876930            
4,155946            
4,896539            
4,268835            
4,342641            
5,416914            
4,892945            
5,846689            
4,719757            
5,246967            
5,682584            
5,118538            
4,347224            
4,620126            
3,821800            
4,289716            
4,690763            
4,720350            
5,411499            
4,644421            
4,977037            
4,901203            
5,312220            
4,260568            
4,359373            
7,188663            
4,350090            
6,285918            
4,090389            
5,006698            
6,987058            
5,081275            
6,038448            
4,994749            
5,756856            
5,339781            
5,333480            
5,387583            
4,057637            
5,066637            
5,133829            
6,457651            
5,004563            
4,791841            
5,958162            
6,513034            
5,233019            
3,823142            
5,687005            
5,382422            
4,910433            
