1                   1                   1                   595                 198,44              3,00                
2                   1                   1                   1826                1284,66             1,42                
3                   1                   1                   222                 79,15               2,80                
4                   1                   1                   465                 255,66              1,82                
5                   1                   1                   1044                731,06              1,43                
6                   1                   1                   321                 194,93              1,65                
7                   1                   1                   872                 683,20              1,28                
8                   1                   1                   61                  25,38               2,40                
